movieId,index
1560115,0
1565196,1
1316092,2
1567829,3
1144991,4
282634,5
614696,6
1596658,7
900741,8
1637705,9
1560382,10
859987,11
999500,12
1093983,13
1654426,14
1616400,15
1615908,16
1280234,17
248460,18
1428301,19
1610093,20
1580533,21
1555799,22
252178,23
19913,24
1369243,25
1405152,26
1560837,27
1359490,28
1647788,29
1039482,30
468853,31
41091,32
584586,33
317888,34
266370,35
796016,36
1064489,37
333371,38
467525,39
330414,40
431891,41
989114,42
4951,43
1527872,44
1572744,45
7840,46
253251,47
1069069,48
534963,49
690907,50
55627,51
331330,52
16632,53
1295026,54
402693,55
1354518,56
63378,57
622918,58
852590,59
1511505,60
1035029,61
11674,62
181256,63
1613009,64
10481,65
460713,66
1400032,67
749097,68
239853,69
585564,70
1605210,71
389,72
12219,73
153223,74
1146261,75
76203,76
732621,77
919207,78
1351923,79
280969,80
808824,81
806516,82
44115,83
1450340,84
1163258,85
847726,86
981361,87
868848,88
58857,89
1254135,90
1026563,91
952738,92
10096,93
1420884,94
1444255,95
1552775,96
1641960,97
879643,98
23932,99
367846,100
715220,101
1651570,102
66332,103
16996,104
894758,105
852363,106
1162975,107
1063161,108
403357,109
766418,110
1094599,111
3870,112
530915,113
585295,114
19951,115
392222,116
158519,117
147609,118
33124,119
428741,120
1548765,121
253535,122
437103,123
1440111,124
249772,125
610266,126
420490,127
134096,128
374232,129
495312,130
584,131
32172,132
259720,133
1171345,134
373449,135
1058616,136
1053600,137
18377,138
974663,139
62,140
495785,141
23132,142
858288,143
14161,144
1203888,145
866440,146
1137177,147
833593,148
851644,149
8065,150
510442,151
64688,152
854684,153
1024794,154
37645,155
129088,156
187017,157
587121,158
1481554,159
368006,160
473032,161
562974,162
364280,163
865463,164
1637461,165
140380,166
1566568,167
1445561,168
1327769,169
970413,170
170,171
586369,172
1562,173
1100988,174
1272837,175
1510769,176
79660,177
140862,178
73237,179
181761,180
346034,181
20453,182
404743,183
12154,184
992214,185
1280,186
1616206,187
613377,188
431594,189
791390,190
1271,191
53182,192
54285,193
493900,194
1237082,195
36999,196
639798,197
536445,198
1329287,199
20145,200
334383,201
530581,202
7291,203
1293849,204
178476,205
52416,206
258034,207
79805,208
1012415,209
1319951,210
42456,211
1618403,212
1476460,213
1486976,214
1606527,215
1382160,216
1550697,217
1182190,218
1135944,219
584427,220
45079,221
1610645,222
575769,223
1359916,224
38142,225
1371714,226
708431,227
204259,228
1824,229
1242876,230
1276704,231
1291198,232
1511902,233
509967,234
222981,235
343362,236
821153,237
321666,238
499500,239
1523667,240
187286,241
84577,242
127847,243
94904,244
1493020,245
56338,246
1621960,247
481,248
1269012,249
1575635,250
551499,251
51200,252
1630000,253
767663,254
634120,255
1595486,256
1150089,257
525107,258
86718,259
24448,260
1324688,261
264450,262
214761,263
1053583,264
65,265
467589,266
450496,267
1370032,268
1958,269
18673,270
1612545,271
752936,272
37748,273
601337,274
567791,275
422,276
564181,277
1568219,278
200713,279
27,280
1633000,281
505929,282
403604,283
653895,284
384027,285
1427824,286
441717,287
1271895,288
1631682,289
19980,290
611315,291
8827,292
1641346,293
1595494,294
158397,295
210763,296
24791,297
1615624,298
472886,299
372399,300
398924,301
101766,302
450046,303
453,304
11471,305
58959,306
1503103,307
1241921,308
11344,309
1221687,310
1224972,311
52413,312
57270,313
16916,314
48508,315
790034,316
276470,317
1299382,318
15804,319
925263,320
1607,321
9487,322
1632584,323
1555049,324
13187,325
754470,326
17979,327
75725,328
1263186,329
1572525,330
185,331
532,332
134126,333
661539,334
459073,335
1602121,336
1179664,337
1570210,338
390845,339
989662,340
23538,341
435506,342
522518,343
381289,344
40096,345
1615664,346
101519,347
429191,348
1600028,349
554447,350
881,351
1513684,352
623,353
391,354
396643,355
1395724,356
1646546,357
1610806,358
31250,359
1484228,360
1570106,361
1016007,362
17903,363
56415,364
1591654,365
104894,366
1651683,367
469872,368
1618321,369
1200063,370
266058,371
732656,372
47964,373
61952,374
530,375
1341137,376
1633814,377
1480071,378
469338,379
269494,380
1621367,381
672208,382
1637312,383
1315979,384
59,385
1290159,386
634797,387
1021633,388
100271,389
1602705,390
977098,391
1600162,392
120247,393
19101,394
1152014,395
1479615,396
1611069,397
577953,398
55314,399
1622910,400
1445276,401
840873,402
937278,403
15244,404
1191370,405
35010,406
42726,407
384127,408
945897,409
656156,410
45127,411
28162,412
239439,413
379880,414
439645,415
1020728,416
486507,417
545377,418
606925,419
45083,420
1002185,421
40211,422
950387,423
1267662,424
1265032,425
1021643,426
1292326,427
15859,428
77459,429
1074049,430
1637381,431
16761,432
1279865,433
704032,434
377,435
973628,436
1053419,437
94525,438
1337985,439
107257,440
12403,441
322125,442
133698,443
602965,444
